City,Place,Ratings,Distance,Place_desc
Agartala,Ujjayanta Palace,4.3, 1 km  from city center ," Years back, Ujjayanta Palace was a royal palace"
Agartala,Buddha Temple,3.7, 96 km  from city center ," Evidence to the Buddhist influence on the people of Agartala, the Buddha Temple is an important religious site and was constructed in 1946"
Agartala,Neermahal,3.6, 36 km  from city center , 'The Lake Palace of Tripura' or the Neermahal is the largest palace of its kind in the entire Indian Subcontinent
Agartala,Tripura Sundari Temple,3.5, 42 km  from city center ," Located in Matabari, 100m east of NH 44, around 55km from Agartala and just 4 km from Udaipur (Tripura), this temple is one of the most famous temple of Tripura"
Agartala,Jagannath Temple,3.2, 47 km  from city center , The Jagannath temple is a famous religious site located in Agartala in Tripura
Agartala,Jampui Hill,3.2, 1 km  from city center ," Also known as the eternal hills of spring, the Jampui hills live up to their name, having pleasant climate all year round, providing ample opportunity for each visitor to take in the beauty that is this place"
Agartala,Sepahijala Wildlife Sanctuary,3.2, 18 km  from city center ," Home to a variety of wildlife especially birds and primates, this place is not just a wildlife sanctuary but also an academic and research centre"
Agartala,Chittangong Hills,3.2, 135 km  from city center , The picturesque spectacle of the Chittagong hills assaults the senses of each and every onlooker
Agartala,Kunjaban Palace,3.2, 3 km  from city center ," Constructed by King Birendra Kishore Manikya in 1917, the Kunjaban Palace is the official residence of the Governor of Tripura"
Agartala,Ummaneshwar Temple,3.2, 1 km  from city center ," Located within the Ujjayanta palace grounds, this saffron coloured temple is influenced by West Bengali culture"
Agartala,Gondacherra Wildlife Sanctuary,3.2, 18 km  from city center , This enchanting sanctuary has maintained an untainted habitat for the multiple species of flora and fauna found here
Agartala,Raima Valley,3.2, 39 km  from city center ," Known as the Mother of the Tribals of Tripura, this lush green valley, decorated with gardens and plantations has become a preferred tourist spot"
Agra,Taj Mahal,4.9, 3 km  from city center ," One of the seven wonders of the world, Taj Mahal is located on the banks of River Yamuna in Agra"
Agra,Agra Fort,4.6, 1 km  from city center ," Also known as Lal Qila, Fort Rouge or Red Fort of Agra, the Agra Fort is a UNESCO world heritage site"
Agra,Fatehpur Sikri,4.5, 36 km  from city center ," Located at a distance of 40km from Agra, Fatehpur Sikri is a town in the Agra district and a famous tourist attraction"
Agra,Akbar's Tomb,4, 7 km  from city center ," The Tomb of Akbar is an important and iconic Mughal architectural masterpiece, built in 1605 and 1613"
Agra,Jama Masjid,4, 1 km  from city center ," This relatively simple mosque built almost entirely in red sandstone was built by Jahanara, the daughter of Shah Jahan"
Agra,Mehtab Bagh,3.6, 3 km  from city center ," Located just north to the glorious wonder called the Taj Mahal and overlooking the Agra Fort and Yamuna river on the opposite side, Mehtab Bagh is a rare retreat of natural bliss and one of the most scenic spots in Agra"
Agra,Itimad-ud-daula's Tomb,3.5, 3 km  from city center , This tomb nestled on the bank of the river Yamuna was built by Queen Noor Jahan for her parents in the middle of the Persian Garden
Agra,Anguri Bagh,3.5, 1 km  from city center ," Centrally situated in the premises of Khas Mahal, Anguri Bagh was built by Mughal Emperor Shah Jahan in 1637"
Agra,Wildlife SOS,3.5, 17 km  from city center , Wildlife SOS is a non-profit organisation in India that rescues and rehabilitates wild animals and forests
Agra,Taj Museum,3.4, 3 km  from city center ," Located inside the Taj Mahal complex, the museum was established in 1982 on the western ends of the Taj Gardens"
Agra,Mother Teresa's Missionaries Of Charity,3.4, 0 km  from city center ," Located on Ajmer Road in Agra, Mother Teresaâs Missionaries of Charity works for the upbringing, well- being and education of the orphaned kids in addition to caring for the elderly and the homeless"
Agra,Chini ka Rauza,3.3, 4 km  from city center ," Dedicated to the memory of the Prime Minister of the court, during the reign of the Mughal Emperor Shah Jahan, Chini ka Rauza is a funerary monument situated on the eastern bank of the Yamuna river in Agra"
Agra,City Shopping,3, 2 km  from city center ," Various small shops in Agra sell handicrafts and stone products such as jewelry boxes, and plaques"
Agra,Jhangir Mahal,3.6, 1 km  from city center ," The residential palace of Jahangir Mahal, stands tall in the Agra Fort complex"
Agra,Dolphin Water Park,3.6, 15 km  from city center ," Inaugurated in 2002, Dolphin World Water Park is spread over an area of 14 acres and is replete with thrilling slides, roller coasters, water and regular rides etc"
Agra,Kalakriti Dance Drama Show,3.6, 5 km  from city center ," Staging the popular play of Mohobbat-e-Taj, Kalkriti Culture and Convention Centre is a must-visit in Agra"
Agra,Taj Mahotsav,3.6, 15 out of 19  places to visit in Agra , Taj Mahotsav is an annual ten-day festival that takes place in Agra
Agra,Friends Gokulam Fun City Water Park,3.6, 15 km  from city center , Friends Gokulam Fun City Water Park is the second largest water park in Agra
Agra,Ram Barat,3.6, 19 out of 19  places to visit in Agra , The Ram Barat is a joyous and one of the most important festivals in Northern India held in September every year
Ahmedabad,Swaminarayan Temple,4.3, 24 km  from city center ," Located in the Kalupur area of Ahmedabad, Shri Swaminarayan Temple was built on the instructions of Swaminarayan, the founder of this sect of Hinduism"
Ahmedabad,Sabarmati Ashram,4.2, 3 km  from city center ," Once the residence of Mahatma Gandhi and his wife Kasturba, this undoubtedly is the biggest tourist attraction situated in the suburb of Ahmedabad, Gujarat"
Ahmedabad,Kankaria Lake,4.2, 5 km  from city center ," One of the biggest lakes in Ahmadabad, this is a total magnet for tourists and locals alike due to its complete entertainment facilities - toy train, kids' city, balloon ride, water park, food stalls"
Ahmedabad,Sidi Saiyyed Mosque,4.2, 2 km  from city center ," Built by Sidi Saeed or Sidi Saiyyed in 1573, as the name suggests, the Sidi Saiyyed Mosque, is one of the most famous mosques of Ahmedabad"
Ahmedabad,Manek Chawk,3.7, 3 km  from city center ," Manek Chowk is a notable city square in Old Ahmedabad which is a vegetable market in the morning, a bullion market in the noon and the street food market at night"
Ahmedabad,Jama Masjid,3.7, 3 km  from city center , The Jama Masjid situated in Ahmedabad is one of the largest mosques in India built in the period of 1424 and was built by Emperor Sultan Ahmed Shah
Ahmedabad,Jhulta Minar,3.7, 4 km  from city center ," Located in Ahmedabad, Jhuta Minar is one of the most intriguing architectural wonders that the world has ever seen"
Ahmedabad,ISKCON Temple,3.7, 6 km  from city center ," Located close to the Gujarat Samachar Press, The ISKCON Temple in Ahmadabad is the best place to experience spirituality and mental bliss"
Ahmedabad,Law Garden,3.7, 2 km  from city center ," Law Garden in Ahmedabad is one of the most popular parks which is also a usual venue of cultural activities like Music concerts, dance festivals and the like"
Ahmedabad,Lalbhai Dalpatbhai Museum,3.7, 2 km  from city center , The Lalbhai Dalpatbhai Museum (also known as L
Ahmedabad,Alpha One Mall,3.6, 7 km  from city center ," One of the largest multiplexes in Ahmedabad, Alpha One mall houses three anchor stores, a food-court and a movie hall"
Ahmedabad,Dada Hari Wav,3.5, 4 km  from city center ," Built by a woman of Sultan Begara's harem in 1499AD, these step-wells were made as a retreat during hot summers"
Ahmedabad,Hathisingh Jain Temple,3.5, 2 km  from city center ," Dedicated to the 15th Tirthankara of Jains, Dharmanath, this two-storied white marble structure provides a delightful experience and the tiled courtyard is another unique aspect of the temple"
Ahmedabad,World Vintage Car Museum,3.4, 12 km  from city center , A connoisseur of vintage cars converted his private collection of vintage cars into a museum
Ahmedabad,City Shopping,3.3, 2 km  from city center ," Even though pretty much everything is available in this city, Ahmedabad is especially famous for its textile industry"
Ahmedabad,Law Garden Night Market,3.2, 2 km  from city center , One of the most famous gardens of Ahmedabad the Law Garden becomes a favorite place for shopaholics with vendors and shopkeepers bustling on the scene
Ahmedabad,Calico Textile Museum,3.2, 3 km  from city center ," One of the foremost textile museums and a celebrated institute in Indian textiles around the world, Calico Textile Museum is famous for its remarkable collection of fabrics"
Ahmedabad,Vaishnodevi Temple,3.2, 11 km  from city center ," Located on Sarkhej-Gandhinagar highway Road, Vaishnodevi Temple in Ahmedabad is a true replica of the famous temple in Jammu-Kashmir"
Ahmedabad,Kamala Nehru Zoo,3.2, 5 km  from city center ," Popularly known as Kankaria Zoo, Kamala Nehru Zoo is located at Kankaria, Ahmedabad"
Ahmedabad,Lal Darwaza,3.2, 3 km  from city center ," With lots of hawkers selling various items from clothes to electronics items, Lal Darwaza is crowded yet one of the most famous markets of Ahmedabad"
Ahmedabad,Kapasi Handicraft Emporium,3.2, 1 km  from city center ," While Handicrafts from Gujarat are exported to far off places all across the world, you can buy it all from Kapasi Handicraft Emporium"
Ahmedabad,Tomb of Ahmed Shah and Ahmed Shah's Mosque.,3.2, 4 km  from city center , Tomb of Sultan Ahmed Shah who was the founder of the city of Ahmedabad
Ahmedabad,R3 The Mall,3.2, 3 km  from city center ," One of the most popular shopping malls and leisure destinations in the city, this mall houses about 200 shops, numerous food courts and a 4-screen multiplexes"
Ahmedabad,Bhadra Fort & Teen Darwaza,3.1, 2 km  from city center , The Bhadra Fort and its neighboring environment is the most scenic part of Ahmedabad
Ahmedabad,Banascraft,3.1, 0 km  from city center ," One of the most famous boutiques of Ahmedabad, Banascraft offers a great variety of handmade items"
Ahmedabad,Adalaj Step Well,3, 14 km  from city center , Adalaj Stepwell is a magnificent structure built brilliantly to curb water crisis in and around Adalaj Village
Ahmedabad,Radhe Shopping Mall,3, 11 km  from city center , Enjoy shopping at Radhe Shopping Mall for a great experience and a variety of brands to choose from
Ahmedabad,Sabarmati Riverfront,3.6, 2 km  from city center , Sabarmati Riverfront is a waterfront developed on the banks of river Sabarmati in Ahmedabad
Ahmedabad,Statue of Unity,3.6, 179 km  from city center ," Statue of Unity is a memorial to The Iron Man of India, Sardar Vallabhbhai Patel"
Ahmedabad,Rani ki Vav,3.6, 101 km  from city center ," Rani Ki Vav or 'Queen's Stepwell' is a distinctive form of water storage system located in the small town of Gujarat called Patan, on the banks of River Saraswati"
Ahmedabad,Modhera Sun Temple,3.6, 74 km  from city center , The Sun Temple in Modhera is a Hindu tempe built by the Chalukya dynasty
Ahmedabad,Sardar Vallabhai Patel National Museum,3.6, 4 km  from city center ," Situated in the premises of Moti Shahi Mahal at Shahibaug in Ahmedabad, Sardar Vallabhai Patel National Museum is a museum and a memorial dedicated to the 1st Deputy Prime Minister of India - Sardar Vallabhai Patel"
Ahmedabad,Dada Bhagwan temple,3.6, 15 km  from city center ," Dada Bhagwan Temple (also known as Adalaj Trimandir) is a trimandir situated in the village of Adalaj on the Ahmedabad-Kalol highway, 20 kms from Ahmedabad"
Ahmedabad,Gujarat Science City,3.6, 9 km  from city center ," Located on the Science City Road in Ahmedabad, Gujarat Science City is a remarkable initiative taken up by the Government of Gujarat to spread general awareness and a scientific temperament especially among the youth of the country"
Ahmedabad,Shree Camp Hanuman Mandir,3.6, 5 km  from city center ," Situated in Shahibaug in Ahmedabad, Shree Camp Hanuman Mandir is one of the largest Hanuman temples in India"
Ahmedabad,Parimal Garden,3.6, 2 km  from city center ," Located on the Parimal Cross Road in Ambavadi, Parimal Garden is a beautiful well-maintained garden in the heart of Ahmedabad"
Ahmedabad,Lothal,3.6, 66 km  from city center ," If you are a history buff and ever so curious to peek into the lives of the older generations, you really need to visit Lothal because this is a place that ties the past and present together"
Ahmedabad,Sarkhej Roza,3.6, 8 km  from city center ," Situated in the village of Makarba, 7 kms from Ahmedabad, Sarkhej Roza is a mosque and tomb complex"
Ahmedabad,Nehru Bridge,3.6, 2 km  from city center , Nehru Bridge is a massive bridge built over the river Sabarmati in Ahmedabad connecting the Real Old City (Kot Vistar) with West Ahmedabad
Ahmedabad,Vastrapur Lake,3.6, 4 km  from city center ," Situated in Western Ahmedabad, Vastrapur Lake is an ancient lake which was renovated and prettified in 2002"
Ahmedabad,Kite Museum,3.6, 3 km  from city center ," Housed in the premises of Sanskar Kendra in Paldi, Ahmedabad, Kite Museum was conceptualised and created by Bhanubhai Shah"
Ahmedabad,Vechaar Utensils Museum,3.6, 6 km  from city center ," VECHAAR (Vishalla Environmental Centre for Heritage of Art, Architecture and Research) Utensils Museum was conceptualised by the famous architect- Mr"
Ahmedabad,Sanskar Kendra,3.6, 3 km  from city center ," Established in 1956, Sanskar Kendra is the city museum located in Paldi in Ahmedabad"
Ahmedabad,Vadla,3.6, 282 km  from city center ," Vadla is an up and coming haven for migratory birds making their way to the marshy wetlands of Gujarat, just a short drive away from Ahmedabad"
Ahmedabad,Ahmedabad One,3.6, 4 km  from city center ," Ahmedabad One is the largest mall in the city, situated at Vastrapur in Ahmedabad"
Ahmedabad,Victoria Garden,3.6, 2 km  from city center , Victoria Garden is situated in the south of Ahmedabad near Bhadra Fort
Ahmedabad,Dhanvantari Garden,3.6, 4 km  from city center ," Dhanvantari Garden is another one of the pretty gardens in Ahmedabad situated in the Dungarshinagar, Paldi"
Ahmedabad,AUDA Garden,3.6, 5 km  from city center ," Situated in Bodakdev in Ahmedabad, AUDA Garden boasts of vast stretches of well-maintained green lawns, tall towering shady trees and a peaceful ambiance"
Ahmedabad,Usmanpura Garden,3.6, 1 km  from city center ," Usmanpura Garden is situated in Shanti Nagar, Usmanpura suburb of Ahmedabad in Gujarat"
Ahmedabad,Gotila Garden-Talav,3.6, 7 km  from city center ," Gotila Garden-Talav is a vibrant green garden situated in Sindhubhavan Road, Thaltej in Ahmedabad"
Ahmedabad,Bansidhar Garden,3.6, 5 km  from city center , Bansidhar is another one of the beautiful gardens situated in the heart of the city
Ahmedabad,One Tree Hill Garden,3.6, 5 km  from city center , One Tree Hill Garden located in Kankaria in Ahmedabad is synonymous with beauty
Ajanta and Ellora Caves,Ajanta Caves,3.6,,  
Ajanta and Ellora Caves,"Grishneshwar Temple, Ellora",3.6,,  
Ajanta and Ellora Caves,"The Buddhist Caves, Ellora",3.6,,  
Ajanta and Ellora Caves,"Bibi Ka Makbara, Aurangabad",3.6,,  
Ajanta and Ellora Caves,"Jain Caves, Ellora",3.6,,  
Ajanta and Ellora Caves,Khuldabad,3.6,,  
Ajanta and Ellora Caves,"Daualatabad fort, Daulatabad",3.6,,  
Ajanta and Ellora Caves,"Aurangabad caves, Aurangabad",3.6,,  
Ajanta and Ellora Caves,Shopping In Aurangabad,3.6,,  
Ajanta and Ellora Caves,"Panchakki, Aurangabad",3.6,,  
Ajanta and Ellora Caves,The shopping plaza,3.6,,  
Ajanta and Ellora Caves,Shopping in Ajanta and Ellora,3.6,,  
Ajmer,Ajmer Sharif,4.5, 1 km  from city center ," Dargah Sharif, the tomb of Moinuddin Chishti is one of the holiest places of worship in India"
Ajmer,Ana Sagar Lake,4.5, 3 km  from city center ," Ana Sagar is an artificial lake constructed in the 12th century AD by Anaji Chauhan, grandfather of the last independent Hindu king Prithvi Raj Chauhan"
Ajmer,Adhai Din ka Jhopra,4.2, 2 km  from city center ," Adhai Din ka Jhopara is a Masjid built by Qutub-ud-Din-Aibak, first Sultan of Delhi in AD 1199"
Ajmer,Akbar's Palace and Museum,4.2, 1 km  from city center , Akbar's Palace is the place where he and his troops stayed at Ajmer whenever he visited the Ajmer Sharif Dargah
Ajmer,"Taragarh Fort, Bundi",4.2, 2 km  from city center ," A rather ramshackle fort, with its overgrown vegetation, Taragarh Fort is one of the most famous places in Bundi, Rajasthan"
