Hotel_Name,Hotel_Rating,City,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Hotel_Price
Adarsh Guest House,4.5,Jamshedpur,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,448
Hotel City Palace,3.4,Chandigarh,Breakfast,Free Wi-Fi,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,0,0,461
Hotel Sree Vasudev,4.2,Vijayawada,Free Wi-Fi,Pool,Air conditioning,Room service,Kitchen,Airport shuttle,Full-service laundry,Accessible,0,491
Hotel Sant Villa,3.2,Kanpur,1-star hotel,Free Wi-Fi,Air conditioning,Kitchen,Full-service laundry,0,0,0,0,533
Hotel TAP Paradise,3.4,Bangalore,1-star hotel,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Kitchen,Airport shuttle,Full-service laundry,539
Superview Waterfall Homestay Rumtek,4.2,Sikkim,Kid-friendly,0,0,0,0,0,0,0,0,560
Hotel Haidri Inn,3.4,Allahabad,Free Wi-Fi,Free parking,Pool,Air conditioning,Room service,Kitchen,Full-service laundry,0,0,569
Hotel Aryan,3.8,Lucknow,2-star hotel,Free Wi-Fi,Room service,Kitchen,Full-service laundry,Kid-friendly,0,0,0,587
Prestige Residency,3.1,Bangalore,Free Wi-Fi,Breakfast,Room service,Kitchen,Full-service laundry,0,0,0,0,609
Shriram Guest House,3,Nashik,Free Wi-Fi,Pool,Kitchen,Full-service laundry,Kid-friendly,0,0,0,0,618
Hotel Kartar Yatri Niwas,4.1,Kanpur,Free Wi-Fi,Air conditioning,Room service,Kitchen,Full-service laundry,0,0,0,0,627
Shahana Guest House,3.1,Mumbai,2-star hotel,Breakfast,Free Wi-Fi,Air conditioning,Full-service laundry,0,0,0,0,635
Montecello Home Stay,3.2,Trivandrum,Free Wi-Fi,Paid parking,Pet-friendly,Beach access,Kitchen,Full-service laundry,Kid-friendly,0,0,643
Hotel Meera,4.2,Ranchi,Free Wi-Fi,Pool,Air conditioning,Full-service laundry,Kid-friendly,0,0,0,0,645
in&out AC Dormitory Ahmedabad,4.1,Ahmedabad,1-star hotel,Free Wi-Fi,Paid parking,Pool,Restaurant,Airport shuttle,Full-service laundry,0,0,646
Luxmi Hotel,2.9,Allahabad,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Kid-friendly,646
Sugam Hotel Pvt Ltd,3.2,Coimbatore,2-star hotel,Free breakfast,Free Wi-Fi,Room service,Full-service laundry,Kid-friendly,0,0,0,650
Hotel frank Inn,3.6,Ghaziabad,3-star hotel,Free Wi-Fi,Paid parking,Pool,Air conditioning,Kitchen,Full-service laundry,Kid-friendly,0,651
Agrawal bhavan guest house,3.5,Vadodara,2-star hotel,Free Wi-Fi,Free parking,Pool,Full-service laundry,0,0,0,0,657
Hotel Trimurti Inn,3.8,Raipur,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Kitchen,Full-service laundry,659
Hotel Lake Scene,3.4,Srinagar,0,0,0,0,0,0,0,0,0,664
Chaitanya Kalyan Guest House,3.7,Gwalior,0,0,0,0,0,0,0,0,0,672
CAPITAL O74359 Hotel Mukut Mahal,3.7,Meerut,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Room service,Full-service laundry,Kid-friendly,674
amigosindia,4.5,Delhi,1-star hotel,Breakfast,Free Wi-Fi,Paid parking,Air conditioning,Pet-friendly,Restaurant,Kitchen,Airport shuttle,706
Mahalaxmi Home Stay,4.3,Guwahati,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Kitchen,Airport shuttle,710
Hotel Garden City,3.6,Mysore,2-star hotel,Breakfast,Free Wi-Fi,Free parking,Restaurant,Room service,Airport shuttle,Full-service laundry,Kid-friendly,715
Hotel New Green View Srinagar (Ghulam),3.8,Kashmir,0,0,0,0,0,0,0,0,0,723
Hotel New Green View Srinagar (Ghulam),3.8,Srinagar,0,0,0,0,0,0,0,0,0,723
Family Guest House,4.5,Varanasi,1-star hotel,Breakfast,Free Wi-Fi,Pool,Air conditioning,Spa,Paid parking,Bar,Restaurant,725
Hotel Chandra,4.1,Jamshedpur,2-star hotel,Breakfast,Free Wi-Fi,Air conditioning,Room service,Full-service laundry,Business center,Kid-friendly,Smoke-free,729
Madpackers Amritsar,4.4,Amritsar,Free Wi-Fi,Kitchen,Full-service laundry,0,0,0,0,0,0,732
Shri Shiva Palace,3.7,Raipur,3-star hotel,Air conditioning,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,0,0,0,736
Hotel Sky Ark,4,Kanyakumari,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Kitchen,Airport shuttle,743
The Signature Inn,3.8,Bangalore,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,756
Great Eastern Valley Residency,4.3,Sikkim,Kid-friendly,0,0,0,0,0,0,0,0,769
Gibbon Backpackers Hostel,4.5,Guwahati,Breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Kitchen,Full-service laundry,0,0,782
The Elite Apartment Hotel,4.7,Kolkata,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Kitchen,Airport shuttle,784
SAP Golden Grande,4,Bangalore,3-star hotel,Free breakfast,Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,792
HOTEL GALAXY INN,3.6,Durgapur,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Airport shuttle,Full-service laundry,Kid-friendly,795
Hotel White Castle,3.9,Noida,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,800
Aloha City Stay,4,Raipur,2-star hotel,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,808
Hotel travel inn,3.6,Meerut,3-star hotel,Free Wi-Fi,Paid parking,Pool,Air conditioning,Kitchen,Full-service laundry,0,0,815
City Hotel,3.1,Allahabad,2-star hotel,Free Wi-Fi,Pool,Air conditioning,Pet-friendly,Restaurant,Kitchen,Full-service laundry,Kid-friendly,816
City Hotel,3.1,Allahabad,2-star hotel,Free Wi-Fi,Pool,Air conditioning,Pet-friendly,Restaurant,Kitchen,Full-service laundry,Kid-friendly,817
OAK FIELD INN,3.8,Kochi,Free breakfast,Wi-Fi,Free parking,Air conditioning,Restaurant,Kitchen,Full-service laundry,Kid-friendly,0,819
Shine Star By Tag Your Trip Near Golden Temple,3.8,Amritsar,House,Sleeps 9,3 bedrooms,Air conditioning,Fireplace,Kitchen,Cable TV,Paid parking,Free Wi-Fi,820
Hotel Kashmir Inn,3.9,Srinagar,2-star hotel,Free Wi-Fi,Paid parking,Pool,Breakfast,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,826
The Galaxy Suites,3.8,Kochi,Apartment,Sleeps 10,Free parking,Free Wi-Fi,No air conditioning,No airport shuttle,No beach access,No elevator,No fireplace,831
Meghna Residency,3.6,Trivandrum,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Airport shuttle,Full-service laundry,Accessible,831
Shagun Residency,3.5,Vadodara,4-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,0,835
Divisha The Bali Resort,4.9,Ranchi,0,0,0,0,0,0,0,0,0,840
Bubble Beds Kolkata,4.3,Kolkata,2-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Kitchen,Full-service laundry,Business center,862
Hotel Holiday Era Lodging,3.5,Aurangabad,2-star hotel,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,871
Saras Park Inn,3.4,Trivandrum,2-star hotel,Air conditioning,Kitchen,Full-service laundry,Kid-friendly,0,0,0,0,875
Hotel Ideal vadodara,3.9,Vadodara,3-star hotel,Free Wi-Fi,Air conditioning,Room service,Kitchen,Full-service laundry,Kid-friendly,0,0,876
Hotel Kooloth Lake View Residency,3.5,Coimbatore,2-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Room service,Full-service laundry,Kid-friendly,0,0,881
Hotel Royal Vadodara,3.4,Vadodara,2-star hotel,Breakfast,Paid parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,883
Cosmo Lodge,3.8,Mangalore,Free Wi-Fi,Paid parking,Air conditioning,Breakfast,Room service,Kitchen,Full-service laundry,Accessible,Kid-friendly,887
Kings Palace Manyata,3.2,Bangalore,Sleeps 8,3 bedrooms,Air conditioning,Elevator,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,891
Hotel Lovely Nest,4,Coimbatore,Breakfast,Wi-Fi,Free parking,Air conditioning,Pet-friendly,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,894
Ayurjani Ayurvedics,4.2,Kochi,Sleeps 4,2 bedrooms,Air conditioning,Fireplace,Paid parking,No crib,No elevator,No fitness center,No ironing board,896
Hotel Brown,3.5,Ludhiana,3-star hotel,Breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Kitchen,Full-service laundry,0,903
HOMESTAY HOTEL LA VILLA PONDI CHÉRIE GUESTHOUSE ROOMS,4.3,Pondicherry,Breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,Restaurant,904
Royal Regency Lodge,3.8,Bangalore,3-star hotel,Free Wi-Fi,Free parking,Air conditioning,Breakfast,Room service,Airport shuttle,Full-service laundry,Accessible,909
